 Tpeak    e      tau      e      VLSR   e    DelV    e     Tspin     e     Tkmax      NHI  CNM   Frac   e    Name     
   K      K                      km/s km/s   km/s   km/s     K       K       K   10+20cm-2                            
====================================================================================================================
  4.42   0.12    0.010   -10.0    1.0  0.1   18.85  0.25   440.00  -12.0    7766      1.62   9   0.50  0.00  3C208.1  
  3.07   0.12    0.010   -10.0    1.6  0.0    4.03  0.11   300.00  -12.0     354      0.24   9   0.50  0.00  3C208.1  
  6.49   0.08    0.019   -10.0    6.8  0.0    4.01  0.05   350.00  -12.0     351      0.51   9   0.50  0.00  3C208.1  
  4.35   0.03    0.031   -10.0  -37.1  0.0    4.22  0.04   140.00  -12.0     389      0.36   9   0.50  0.29  3C225a   
  2.97   0.03    0.042   -10.0  -27.1  0.0    7.07  0.08    70.00  -12.0    1091      0.41   9   0.50  0.29  3C225a   
  1.14   0.02    0.010   -10.0  -13.3  0.4   42.44  0.56   110.00  -12.0   39370      0.94   9   0.50  0.29  3C225a   
  1.76   0.04    0.010   -10.0   -4.5  0.0    5.13  0.14   170.00  -12.0     575      0.18   9   0.50  0.29  3C225a   
  5.39  -12.0    0.013   0.001   -2.6  0.3   12.68  0.86   409.39   4.02    3513      1.34   0  -18.0 -18.0  3C225a   
  5.78  -12.0    0.313   0.003    4.0  0.0    1.32  0.01    21.53   1.30      37      0.17   1  -18.0 -18.0  3C225a   
  0.53  -12.0    0.033   0.001  -40.6  0.1    2.07  0.12    16.64   3.05      93      0.02   4  -18.0 -18.0  3C225b   
  2.79  -12.0    0.047   0.001  -37.9  0.1    2.52  0.11    61.11   1.97     138      0.14   3  -18.0 -18.0  3C225b   
  1.79   0.05    0.004   -10.0  -29.7  0.2   20.22  0.64   420.00  -12.0    8938      0.70   9   0.50  0.29  3C225b   
  1.21  -12.0    0.027   0.001  -28.0  0.1    4.78  0.13    45.40   3.28     499      0.11   2  -18.0 -18.0  3C225b   
  2.01  -12.0    0.013   0.001   -5.6  0.1    6.82  0.33   155.08   9.70    1015      0.27   1  -18.0 -18.0  3C225b   
  5.73   0.09    0.002   -10.0   -2.8  0.1   15.40  0.15  2370.00  -12.0    5182      1.72   9   0.50  0.29  3C225b   
  9.17  -12.0    0.745   0.002    3.6  0.0    1.25  0.00    17.44   1.80      34      0.32   0  -18.0 -18.0  3C225b   
  0.99   0.03    0.003   -10.0  -28.5  0.4   21.38  1.06   330.00  -12.0    9996      0.41   9   0.50  0.29  3C228.0  
  5.52  -12.0    0.082   0.002   -5.1  0.0    2.86  0.08    70.43   3.48     179      0.32   0  -18.0 -18.0  3C228.0  
  6.40   0.07    0.009   -10.0   -3.9  0.1   14.68  0.16   710.00  -12.0    4711      1.83   9   0.50  0.29  3C228.0  
  1.19  -12.0    0.027   0.002   -1.4  0.1    2.13  0.20    44.16   5.34      98      0.05   1  -18.0 -18.0  3C228.0  
  1.30   0.03    0.002   -10.0  -17.1  0.6   51.37  1.01   650.00  -12.0   57719      1.30   9   0.50  0.00  3C234    
  1.29   0.05    0.002   -10.0    0.3  0.2   12.39  0.60   640.00  -12.0    3356      0.31   9   0.50  0.00  3C234    
  0.31   0.04    0.004   -10.0  -44.1  1.2   17.62  2.72    80.00  -12.0    6791      0.11   9   0.50  0.00  3C236    
  1.53   0.02    0.004   -10.0  -10.1  0.4   36.79  0.97   380.00  -12.0   29606      1.10   9   0.50  0.00  3C236    
  4.08  -12.0    0.006   0.000   -5.7  0.2   16.31  0.32   656.14   5.07    5816      1.30   2  -18.0 -18.0  3C237    
  1.39  -12.0    0.005   0.000   -3.0  0.1    2.48  0.16   255.60  10.79     134      0.07   1  -18.0 -18.0  3C237    
  4.47  -12.0    0.398   0.001    1.9  0.0    1.19  0.00    13.61   0.26      31      0.13   0  -18.0 -18.0  3C237    
  0.28   0.01    0.001   -10.0   12.3  3.9  120.09 12.98   240.00  -12.0  315275      0.65   9   0.50  0.29  3C237    
  0.45  -12.0    0.003   0.000   30.1  0.2    6.04  0.41   168.37  13.35     796      0.05   3  -18.0 -18.0  3C237    
  3.71   0.04    0.003   -10.0  -10.4  0.1   21.46  0.21  1240.00  -12.0   10065      1.55   9   0.50  0.29  3C245    
  4.40  -12.0    0.009   0.000   -8.6  0.1    5.63  0.28   509.72   8.36     693      0.48   0  -18.0 -18.0  3C245    
  0.84   0.03    0.014   -10.0  -55.2  0.1    9.43  0.33    60.00  -12.0    1945      0.15   9   0.50  0.00  3C263.1  
  1.02   0.03    0.007   -10.0  -40.1  0.1   11.70  0.35   140.00  -12.0    2995      0.23   9   0.50  0.00  3C263.1  
  0.99   0.03    0.005   -10.0  -38.2  0.7   52.12  1.55   200.00  -12.0   59414      1.00   9   0.50  0.00  3C263.1  
  0.94   0.03    0.008   -10.0   -5.9  0.1   16.58  0.49   120.00  -12.0    6014      0.30   9   0.50  0.00  3C263.1  
  0.84   0.03    0.004   -10.0  -36.2  0.1   10.27  0.39   210.00  -12.0    2307      0.17   9   0.50  0.00  3C264.0  
  1.62   0.02    0.004   -10.0  -29.6  0.2   49.40  0.44   400.00  -12.0   53359      1.56   9   0.50  0.00  3C264.0  
  2.99   0.03    0.003   -10.0  -28.8  0.0    9.37  0.11   990.00  -12.0    1921      0.55   9   0.50  0.00  3C267.0  
  1.94   0.02    0.003   -10.0  -21.3  0.3   37.86  0.47   650.00  -12.0   31342      1.43   9   0.50  0.00  3C267.0  
  1.48   0.03    0.005   -10.0   -2.5  0.1   12.05  0.31   290.00  -12.0    3176      0.35   9   0.50  0.00  3C267.0  
  2.82  -12.0    0.029   0.001  -30.6  0.1    3.81  0.18    98.80   2.65     316      0.21   2  -18.0 -18.0  3C272.1  
  2.72   0.04    0.003   -10.0  -30.1  0.1   13.84  0.23   900.00  -12.0    4184      0.73   9   0.50  0.29  3C272.1  
  0.98  -12.0    0.009   0.001   -9.2  0.2    3.12  0.52   112.22   6.42     212      0.06   1  -18.0 -18.0  3C272.1  
  3.20   0.03    0.003   -10.0   -7.4  0.1   20.88  0.23  1060.00  -12.0    9526      1.30   9   0.50  0.29  3C272.1
  1.26  -12.0    0.015   0.001   -1.5  0.1    3.61  0.34    87.48   3.80     284      0.09   0  -18.0 -18.0  3C272.1  
  1.72   0.01    0.001   -10.0  -13.9  0.1   35.03  0.28  1600.00  -12.0   26820      1.17   9   0.50  0.29  3C273    
  0.81  -12.0    0.018   0.000   -6.3  0.0    2.37  0.04    44.43   3.19     122      0.04   0  -18.0 -18.0  3C273    
